Altitude                 Rho                      Temperture               Pressure                 SpeedOfSound             
193.000000               1.249469                 289.392570               103739.302877            340.995505               
194.000000               1.249588                 289.399060               103751.531477            340.999329               
195.000000               1.249707                 289.405550               103763.761244            341.003152               
196.000000               1.249827                 289.412040               103775.992178            341.006976               
197.000000               1.249946                 289.418530               103788.224280            341.010799               
198.000000               1.250065                 289.425020               103800.457549            341.014623               
199.000000               1.250184                 289.431510               103812.691985            341.018446               
200.000000               1.250304                 289.438000               103824.927589            341.022270               
201.000000               1.250423                 289.444490               103837.164361            341.026093               
202.000000               1.250542                 289.450980               103849.402301            341.029916               
203.000000               1.250662                 289.457470               103861.641409            341.033739               
204.000000               1.250781                 289.463960               103873.881684            341.037563               
205.000000               1.250900                 289.470450               103886.123128            341.041386               
206.000000               1.251020                 289.476940               103898.365739            341.045209               
207.000000               1.251139                 289.483430               103910.609519            341.049032               
208.000000               1.251259                 289.489920               103922.854468            341.052855               
209.000000               1.251378                 289.496410               103935.100584            341.056678               
210.000000               1.251497                 289.502900               103947.347870            341.060501               
211.000000               1.251617                 289.509390               103959.596323            341.064324               
212.000000               1.251736                 289.515880               103971.845946            341.068147               
213.000000               1.251856                 289.522370               103984.096737            341.071969               
214.000000               1.251975                 289.528860               103996.348697            341.075792               
215.000000               1.252095                 289.535350               104008.601826            341.079615               
216.000000               1.252214                 289.541840               104020.856123            341.083437               
217.000000               1.252333                 289.548330               104033.111590            341.087260               
218.000000               1.252453                 289.554820               104045.368227            341.091083               
219.000000               1.252572                 289.561310               104057.626032            341.094905               
220.000000               1.252692                 289.567800               104069.885007            341.098728               
221.000000               1.252811                 289.574290               104082.145151            341.102550               
222.000000               1.252931                 289.580780               104094.406464            341.106373               
223.000000               1.253050                 289.587270               104106.668947            341.110195               
224.000000               1.253170                 289.593760               104118.932600            341.114017               
225.000000               1.253289                 289.600250               104131.197423            341.117840               
226.000000               1.253409                 289.606740               104143.463415            341.121662               
227.000000               1.253529                 289.613230               104155.730578            341.125484               
228.000000               1.253648                 289.619720               104167.998910            341.129306               
229.000000               1.253768                 289.626210               104180.268413            341.133128               
230.000000               1.253887                 289.632700               104192.539086            341.136950               
231.000000               1.254007                 289.639190               104204.810929            341.140772               
232.000000               1.254126                 289.645680               104217.083942            341.144594               
233.000000               1.254246                 289.652170               104229.358126            341.148416               
234.000000               1.254366                 289.658660               104241.633480            341.152238               
235.000000               1.254485                 289.665150               104253.910005            341.156060               
236.000000               1.254605                 289.671640               104266.187701            341.159882               
237.000000               1.254725                 289.678130               104278.466567            341.163704               
238.000000               1.254844                 289.684620               104290.746605            341.167525               
239.000000               1.254964                 289.691110               104303.027813            341.171347               
240.000000               1.255083                 289.697600               104315.310192            341.175169               
241.000000               1.255203                 289.704090               104327.593743            341.178990               
242.000000               1.255323                 289.710580               104339.878464            341.182812               
243.000000               1.255443                 289.717070               104352.164357            341.186633               
244.000000               1.255562                 289.723560               104364.451422            341.190455               
245.000000               1.255682                 289.730050               104376.739657            341.194276               
246.000000               1.255802                 289.736540               104389.029065            341.198098               
247.000000               1.255921                 289.743030               104401.319644            341.201919               
248.000000               1.256041                 289.749520               104413.611395            341.205740               
249.000000               1.256161                 289.756010               104425.904317            341.209561               
250.000000               1.256281                 289.762500               104438.198412            341.213383               
251.000000               1.256400                 289.768990               104450.493678            341.217204               
252.000000               1.256520                 289.775480               104462.790116            341.221025               
253.000000               1.256640                 289.781970               104475.087727            341.224846               
254.000000               1.256760                 289.788460               104487.386510            341.228667               
255.000000               1.256879                 289.794950               104499.686465            341.232488               
256.000000               1.256999                 289.801440               104511.987593            341.236309               
257.000000               1.257119                 289.807930               104524.289893            341.240130               
258.000000               1.257239                 289.814420               104536.593366            341.243951               
259.000000               1.257359                 289.820910               104548.898011            341.247772               
