FlightTime [s]           Gamma                    Chi                      
3.920000                 0.002898                 0.000113                 
3.930000                 0.002899                 0.000114                 
3.940000                 0.002899                 0.000114                 
3.950000                 0.002900                 0.000115                 
3.960000                 0.002901                 0.000116                 
3.970000                 0.002902                 0.000116                 
3.980000                 0.002904                 0.000117                 
3.990000                 0.002905                 0.000117                 
4.000000                 0.002906                 0.000118                 
4.010000                 0.002907                 0.000119                 
4.020000                 0.002909                 0.000119                 
4.030000                 0.002910                 0.000120                 
4.040000                 0.002912                 0.000121                 
4.050000                 0.002913                 0.000121                 
4.060000                 0.002915                 0.000122                 
4.070000                 0.002917                 0.000122                 
4.080000                 0.002919                 0.000123                 
4.090000                 0.002921                 0.000124                 
4.100000                 0.002923                 0.000124                 
4.110000                 0.002925                 0.000125                 
4.120000                 0.002927                 0.000126                 
4.130000                 0.002930                 0.000126                 
4.140000                 0.002932                 0.000127                 
4.150000                 0.002934                 0.000128                 
4.160000                 0.002937                 0.000128                 
4.170000                 0.002940                 0.000129                 
4.180000                 0.002942                 0.000130                 
4.190000                 0.002945                 0.000130                 
4.200000                 0.002948                 0.000131                 
4.210000                 0.002951                 0.000132                 
4.220000                 0.002954                 0.000132                 
4.230000                 0.002957                 0.000133                 
4.240000                 0.002960                 0.000133                 
4.250000                 0.002963                 0.000134                 
4.260000                 0.002967                 0.000135                 
4.270000                 0.002970                 0.000135                 
4.280000                 0.002973                 0.000136                 
4.290000                 0.002977                 0.000137                 
4.300000                 0.002980                 0.000137                 
4.310000                 0.002984                 0.000138                 
4.320000                 0.002987                 0.000139                 
4.330000                 0.002991                 0.000140                 
4.340000                 0.002994                 0.000140                 
4.350000                 0.002998                 0.000141                 
4.360000                 0.003002                 0.000142                 
4.370000                 0.003005                 0.000142                 
4.380000                 0.003009                 0.000143                 
4.390000                 0.003013                 0.000144                 
4.400000                 0.003016                 0.000144                 
4.410000                 0.003020                 0.000145                 
4.420000                 0.003024                 0.000146                 
4.430000                 0.003027                 0.000146                 
4.440000                 0.003031                 0.000147                 
4.450000                 0.003035                 0.000148                 
4.460000                 0.003038                 0.000148                 
4.470000                 0.003042                 0.000149                 
4.480000                 0.003045                 0.000150                 
4.490000                 0.003049                 0.000151                 
4.500000                 0.003052                 0.000151                 
4.510000                 0.003056                 0.000152                 
4.520000                 0.003059                 0.000153                 
4.530000                 0.003063                 0.000153                 
4.540000                 0.003066                 0.000154                 
4.550000                 0.003069                 0.000155                 
4.560000                 0.003073                 0.000155                 
4.570000                 0.003076                 0.000156                 
4.580000                 0.003079                 0.000157                 
4.590000                 0.003082                 0.000158                 
4.600000                 0.003085                 0.000158                 
4.610000                 0.003088                 0.000159                 
4.620000                 0.003091                 0.000160                 
4.630000                 0.003093                 0.000160                 
4.640000                 0.003096                 0.000161                 
4.650000                 0.003099                 0.000162                 
4.660000                 0.003101                 0.000163                 
4.670000                 0.003104                 0.000163                 
4.680000                 0.003106                 0.000164                 
4.690000                 0.003109                 0.000165                 
4.700000                 0.003111                 0.000166                 
4.710000                 0.003113                 0.000166                 
4.720000                 0.003116                 0.000167                 
4.730000                 0.003118                 0.000168                 
4.740000                 0.003120                 0.000169                 
4.750000                 0.003122                 0.000169                 
4.760000                 0.003124                 0.000170                 
4.770000                 0.003126                 0.000171                 
4.780000                 0.003128                 0.000171                 
4.790000                 0.003129                 0.000172                 
4.800000                 0.003131                 0.000173                 
4.810000                 0.003133                 0.000174                 
4.820000                 0.003134                 0.000174                 
4.830000                 0.003136                 0.000175                 
4.840000                 0.003137                 0.000176                 
4.850000                 0.003139                 0.000177                 
4.860000                 0.003140                 0.000178                 
4.870000                 0.003142                 0.000178                 
4.880000                 0.003143                 0.000179                 
4.890000                 0.003144                 0.000180                 
4.900000                 0.003146                 0.000181                 
4.910000                 0.003147                 0.000181                 
4.920000                 0.003148                 0.000182                 
4.930000                 0.003149                 0.000183                 
4.940000                 0.003150                 0.000184                 
4.950000                 0.003151                 0.000184                 
4.960000                 0.003153                 0.000185                 
4.970000                 0.003154                 0.000186                 
4.980000                 0.003155                 0.000187                 
4.990000                 0.003156                 0.000188                 
5.000000                 0.003157                 0.000188                 
5.010000                 0.003158                 0.000189                 
5.020000                 0.003159                 0.000190                 
5.030000                 0.003160                 0.000191                 
5.040000                 0.003161                 0.000191                 
5.050000                 0.003162                 0.000192                 
5.060000                 0.003163                 0.000193                 
5.070000                 0.003164                 0.000194                 
5.080000                 0.003165                 0.000195                 
5.090000                 0.003166                 0.000195                 
5.100000                 0.003167                 0.000196                 
5.110000                 0.003168                 0.000197                 
5.120000                 0.003170                 0.000198                 
5.130000                 0.003171                 0.000199                 
5.140000                 0.003172                 0.000199                 
5.150000                 0.003173                 0.000200                 
5.160000                 0.003174                 0.000201                 
5.170000                 0.003175                 0.000202                 
5.180000                 0.003177                 0.000203                 
5.190000                 0.003178                 0.000203                 
5.200000                 0.003179                 0.000204                 
5.210000                 0.003180                 0.000205                 
5.220000                 0.003182                 0.000206                 
5.230000                 0.003183                 0.000207                 
5.240000                 0.003184                 0.000208                 
5.250000                 0.003186                 0.000208                 
5.260000                 0.003187                 0.000209                 
5.270000                 0.003189                 0.000210                 
5.280000                 0.003190                 0.000211                 
5.290000                 0.003192                 0.000212                 
5.300000                 0.003193                 0.000212                 
5.310000                 0.003195                 0.000213                 
5.320000                 0.003196                 0.000214                 
5.330000                 0.003198                 0.000215                 
5.340000                 0.003200                 0.000216                 
5.350000                 0.003201                 0.000217                 
5.360000                 0.003203                 0.000217                 
5.370000                 0.003205                 0.000218                 
5.380000                 0.003206                 0.000219                 
5.390000                 0.003208                 0.000220                 
5.400000                 0.003210                 0.000221                 
5.410000                 0.003212                 0.000222                 
5.420000                 0.003213                 0.000223                 
5.430000                 0.003215                 0.000223                 
5.440000                 0.003217                 0.000224                 
5.450000                 0.003219                 0.000225                 
5.460000                 0.003221                 0.000226                 
5.470000                 0.003223                 0.000227                 
5.480000                 0.003224                 0.000228                 
5.490000                 0.003226                 0.000229                 
5.500000                 0.003228                 0.000229                 
5.510000                 0.003230                 0.000230                 
5.520000                 0.003232                 0.000231                 
5.530000                 0.003234                 0.000232                 
5.540000                 0.003236                 0.000233                 
5.550000                 0.003238                 0.000234                 
5.560000                 0.003240                 0.000235                 
5.570000                 0.003241                 0.000236                 
5.580000                 0.003243                 0.000236                 
5.590000                 0.003245                 0.000237                 
5.600000                 0.003247                 0.000238                 
5.610000                 0.003249                 0.000239                 
5.620000                 0.003251                 0.000240                 
5.630000                 0.003253                 0.000241                 
5.640000                 0.003254                 0.000242                 
5.650000                 0.003256                 0.000243                 
5.660000                 0.003258                 0.000243                 
5.670000                 0.003260                 0.000244                 
5.680000                 0.003262                 0.000245                 
5.690000                 0.003263                 0.000246                 
5.700000                 0.003265                 0.000247                 
5.710000                 0.003267                 0.000248                 
5.720000                 0.003268                 0.000249                 
5.730000                 0.003270                 0.000250                 
5.740000                 0.003272                 0.000251                 
5.750000                 0.003273                 0.000252                 
5.760000                 0.003275                 0.000252                 
5.770000                 0.003277                 0.000253                 
