FlightTime [s]           F_x                      F_y                      F_z                      M_x                      M_x                      M_y                      M_z                      
1.620000                 13005.967345             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.630000                 12913.637453             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.640000                 12823.571077             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.650000                 12735.908024             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.660000                 12650.779358             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.670000                 12568.307283             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.680000                 12488.605060             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.690000                 12411.776937             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.700000                 12337.918113             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.710000                 12267.114710             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.720000                 12199.443783             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.730000                 12134.973339             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.740000                 12073.762383             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.750000                 12015.860983             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.760000                 11961.310357             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.770000                 11910.142976             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.780000                 11862.382691             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.790000                 11818.044872             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.800000                 11777.136570             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.810000                 11739.656692             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.820000                 11705.596193             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.830000                 11674.938285             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.840000                 11647.658659             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.850000                 11623.725718             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.860000                 11603.100829             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.870000                 11585.738580             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.880000                 11571.587051             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.890000                 11560.588096             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.900000                 11552.677632             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
