Flight Time              x_NED                    y_NED                    z_NED                    
3.080000                 554.400018               0.000000                 -5250.000239             
3.090000                 556.200018               0.000000                 -5250.000240             
3.100000                 558.000018               0.000000                 -5250.000242             
3.110000                 559.800018               0.000000                 -5250.000243             
3.120000                 561.600018               0.000000                 -5250.000244             
3.130000                 563.400018               0.000000                 -5250.000245             
3.140000                 565.200018               0.000000                 -5250.000247             
3.150000                 567.000018               0.000000                 -5250.000248             
3.160000                 568.800018               0.000000                 -5250.000249             
3.170000                 570.600018               0.000000                 -5250.000250             
3.180000                 572.400018               0.000000                 -5250.000252             
3.190000                 574.200018               0.000000                 -5250.000253             
3.200000                 576.000018               0.000000                 -5250.000254             
3.210000                 577.800018               0.000000                 -5250.000255             
3.220000                 579.600018               0.000000                 -5250.000256             
3.230000                 581.400018               0.000000                 -5250.000258             
3.240000                 583.200019               0.000000                 -5250.000259             
3.250000                 585.000019               0.000000                 -5250.000260             
3.260000                 586.800019               0.000000                 -5250.000261             
3.270000                 588.600019               0.000000                 -5250.000263             
3.280000                 590.400019               0.000000                 -5250.000264             
3.290000                 592.200019               0.000000                 -5250.000265             
3.300000                 594.000019               0.000000                 -5250.000266             
3.310000                 595.800019               0.000000                 -5250.000268             
3.320000                 597.600019               0.000000                 -5250.000269             
3.330000                 599.400019               0.000000                 -5250.000270             
3.340000                 601.200019               0.000000                 -5250.000272             
3.350000                 603.000019               0.000000                 -5250.000273             
3.360000                 604.800019               0.000000                 -5250.000274             
3.370000                 606.600019               0.000000                 -5250.000275             
3.380000                 608.400019               0.000000                 -5250.000277             
3.390000                 610.200019               0.000000                 -5250.000278             
3.400000                 612.000019               0.000000                 -5250.000279             
3.410000                 613.800019               0.000000                 -5250.000280             
3.420000                 615.600019               0.000000                 -5250.000282             
3.430000                 617.400019               0.000000                 -5250.000283             
3.440000                 619.200019               0.000000                 -5250.000284             
3.450000                 621.000019               0.000000                 -5250.000285             
3.460000                 622.800019               0.000000                 -5250.000287             
3.470000                 624.600019               0.000000                 -5250.000288             
3.480000                 626.400019               0.000000                 -5250.000289             
3.490000                 628.200019               0.000000                 -5250.000291             
3.500000                 630.000019               0.000000                 -5250.000292             
3.510000                 631.800019               0.000000                 -5250.000293             
3.520000                 633.600019               0.000000                 -5250.000294             
3.530000                 635.400019               0.000000                 -5250.000296             
3.540000                 637.200019               0.000000                 -5250.000297             
3.550000                 639.000019               0.000000                 -5250.000298             
3.560000                 640.800020               0.000000                 -5250.000300             
3.570000                 642.600020               0.000000                 -5250.000301             
3.580000                 644.400020               0.000000                 -5250.000302             
3.590000                 646.200020               0.000000                 -5250.000303             
3.600000                 648.000020               0.000000                 -5250.000305             
3.610000                 649.800020               0.000000                 -5250.000306             
3.620000                 651.600020               0.000000                 -5250.000307             
3.630000                 653.400020               0.000000                 -5250.000309             
3.640000                 655.200020               0.000000                 -5250.000310             
3.650000                 657.000020               0.000000                 -5250.000311             
3.660000                 658.800020               0.000000                 -5250.000312             
3.670000                 660.600020               0.000000                 -5250.000314             
3.680000                 662.400020               0.000000                 -5250.000315             
3.690000                 664.200020               0.000000                 -5250.000316             
3.700000                 666.000020               0.000000                 -5250.000318             
3.710000                 667.800020               0.000000                 -5250.000319             
3.720000                 669.600020               0.000000                 -5250.000320             
3.730000                 671.400020               0.000000                 -5250.000322             
3.740000                 673.200020               0.000000                 -5250.000323             
3.750000                 675.000020               0.000000                 -5250.000324             
3.760000                 676.800020               0.000000                 -5250.000326             
3.770000                 678.600020               0.000000                 -5250.000327             
3.780000                 680.400020               0.000000                 -5250.000328             
3.790000                 682.200020               0.000000                 -5250.000329             
3.800000                 684.000020               0.000000                 -5250.000331             
3.810000                 685.800020               0.000000                 -5250.000332             
3.820000                 687.600020               0.000000                 -5250.000333             
3.830000                 689.400020               0.000000                 -5250.000335             
3.840000                 691.200020               0.000000                 -5250.000336             
3.850000                 693.000020               0.000000                 -5250.000337             
3.860000                 694.800020               0.000000                 -5250.000339             
3.870000                 696.600020               0.000000                 -5250.000340             
3.880000                 698.400020               0.000000                 -5250.000341             
3.890000                 700.200020               0.000000                 -5250.000343             
3.900000                 702.000020               0.000000                 -5250.000344             
3.910000                 703.800020               0.000000                 -5250.000345             
3.920000                 705.600020               0.000000                 -5250.000347             
3.930000                 707.400020               0.000000                 -5250.000348             
3.940000                 709.200021               0.000000                 -5250.000349             
3.950000                 711.000021               0.000000                 -5250.000351             
3.960000                 712.800021               0.000000                 -5250.000352             
3.970000                 714.600021               0.000000                 -5250.000353             
3.980000                 716.400021               0.000000                 -5250.000355             
3.990000                 718.200021               0.000000                 -5250.000356             
4.000000                 720.000021               0.000000                 -5250.000357             
4.010000                 721.800021               0.000000                 -5250.000359             
4.020000                 723.600021               0.000000                 -5250.000360             
4.030000                 725.400021               0.000000                 -5250.000361             
4.040000                 727.200021               0.000000                 -5250.000363             
4.050000                 729.000021               0.000000                 -5250.000364             
4.060000                 730.800021               0.000000                 -5250.000365             
4.070000                 732.600021               0.000000                 -5250.000367             
4.080000                 734.400021               0.000000                 -5250.000368             
4.090000                 736.200021               0.000000                 -5250.000369             
4.100000                 738.000021               0.000000                 -5250.000371             
4.110000                 739.800021               0.000000                 -5250.000372             
4.120000                 741.600021               0.000000                 -5250.000374             
4.130000                 743.400021               0.000000                 -5250.000375             
4.140000                 745.200021               0.000000                 -5250.000376             
4.150000                 747.000021               0.000000                 -5250.000378             
4.160000                 748.800021               0.000000                 -5250.000379             
4.170000                 750.600021               0.000000                 -5250.000380             
4.180000                 752.400021               0.000000                 -5250.000382             
4.190000                 754.200021               0.000000                 -5250.000383             
4.200000                 756.000021               0.000000                 -5250.000384             
4.210000                 757.800021               0.000000                 -5250.000386             
4.220000                 759.600021               0.000000                 -5250.000387             
4.230000                 761.400021               0.000000                 -5250.000388             
4.240000                 763.200021               0.000000                 -5250.000390             
4.250000                 765.000021               0.000000                 -5250.000391             
4.260000                 766.800021               0.000000                 -5250.000393             
4.270000                 768.600021               0.000000                 -5250.000394             
4.280000                 770.400021               0.000000                 -5250.000395             
4.290000                 772.200021               0.000000                 -5250.000397             
4.300000                 774.000021               0.000000                 -5250.000398             
4.310000                 775.800021               0.000000                 -5250.000399             
4.320000                 777.600021               0.000000                 -5250.000401             
4.330000                 779.400021               0.000000                 -5250.000402             
4.340000                 781.200021               0.000000                 -5250.000404             
4.350000                 783.000021               0.000000                 -5250.000405             
4.360000                 784.800021               0.000000                 -5250.000406             
4.370000                 786.600021               0.000000                 -5250.000408             
4.380000                 788.400021               0.000000                 -5250.000409             
4.390000                 790.200021               0.000000                 -5250.000410             
4.400000                 792.000021               0.000000                 -5250.000412             
4.410000                 793.800021               0.000000                 -5250.000413             
4.420000                 795.600021               0.000000                 -5250.000415             
4.430000                 797.400021               0.000000                 -5250.000416             
4.440000                 799.200021               0.000000                 -5250.000417             
4.450000                 801.000021               0.000000                 -5250.000419             
