Eta                      Xi                       Zeta                     Delta                    
0.022842                 -0.001003                -0.000967                0.207813                 
0.022829                 -0.001046                -0.001019                0.207809                 
0.022816                 -0.001087                -0.001067                0.207804                 
0.022804                 -0.001127                -0.001110                0.207797                 
0.022793                 -0.001164                -0.001149                0.207788                 
0.022782                 -0.001199                -0.001182                0.207778                 
0.022772                 -0.001232                -0.001210                0.207767                 
0.022762                 -0.001262                -0.001234                0.207754                 
0.022754                 -0.001290                -0.001252                0.207740                 
0.022745                 -0.001315                -0.001265                0.207725                 
0.022738                 -0.001337                -0.001272                0.207709                 
0.022731                 -0.001356                -0.001275                0.207692                 
0.022725                 -0.001372                -0.001273                0.207674                 
0.022720                 -0.001385                -0.001265                0.207655                 
0.022715                 -0.001395                -0.001253                0.207636                 
0.022711                 -0.001402                -0.001236                0.207615                 
0.022709                 -0.001406                -0.001215                0.207594                 
0.022706                 -0.001408                -0.001190                0.207573                 
0.022705                 -0.001406                -0.001160                0.207551                 
0.022705                 -0.001402                -0.001126                0.207529                 
0.022705                 -0.001394                -0.001089                0.207507                 
0.022706                 -0.001385                -0.001049                0.207484                 
0.022708                 -0.001372                -0.001005                0.207462                 
0.022710                 -0.001357                -0.000958                0.207439                 
0.022713                 -0.001340                -0.000909                0.207417                 
0.022717                 -0.001321                -0.000857                0.207394                 
0.022722                 -0.001299                -0.000804                0.207372                 
0.022727                 -0.001276                -0.000749                0.207351                 
0.022732                 -0.001251                -0.000692                0.207330                 
0.022738                 -0.001224                -0.000634                0.207309                 
0.022745                 -0.001196                -0.000576                0.207289                 
0.022752                 -0.001167                -0.000517                0.207269                 
0.022760                 -0.001136                -0.000458                0.207250                 
0.022768                 -0.001105                -0.000399                0.207232                 
0.022776                 -0.001073                -0.000340                0.207215                 
0.022785                 -0.001040                -0.000282                0.207199                 
0.022794                 -0.001008                -0.000226                0.207183                 
0.022803                 -0.000974                -0.000170                0.207169                 
0.022812                 -0.000941                -0.000116                0.207155                 
0.022822                 -0.000908                -0.000064                0.207142                 
0.022831                 -0.000876                -0.000014                0.207131                 
0.022841                 -0.000844                0.000034                 0.207120                 
0.022850                 -0.000812                0.000080                 0.207111                 
0.022860                 -0.000782                0.000123                 0.207102                 
0.022869                 -0.000752                0.000163                 0.207095                 
0.022879                 -0.000723                0.000200                 0.207088                 
0.022888                 -0.000696                0.000235                 0.207083                 
0.022897                 -0.000670                0.000266                 0.207079                 
0.022906                 -0.000645                0.000293                 0.207076                 
0.022914                 -0.000622                0.000318                 0.207074                 
0.022922                 -0.000600                0.000339                 0.207073                 
0.022930                 -0.000581                0.000356                 0.207073                 
0.022938                 -0.000563                0.000370                 0.207074                 
0.022945                 -0.000546                0.000380                 0.207076                 
0.022951                 -0.000532                0.000387                 0.207079                 
0.022958                 -0.000520                0.000391                 0.207083                 
0.022963                 -0.000509                0.000391                 0.207088                 
0.022969                 -0.000501                0.000387                 0.207093                 
0.022974                 -0.000494                0.000381                 0.207100                 
0.022978                 -0.000490                0.000371                 0.207107                 
0.022982                 -0.000487                0.000358                 0.207114                 
0.022985                 -0.000487                0.000342                 0.207122                 
0.022988                 -0.000488                0.000323                 0.207131                 
0.022991                 -0.000491                0.000301                 0.207141                 
0.022992                 -0.000496                0.000277                 0.207151                 
0.022994                 -0.000503                0.000250                 0.207161                 
0.022995                 -0.000511                0.000221                 0.207171                 
0.022995                 -0.000521                0.000191                 0.207182                 
0.022995                 -0.000532                0.000158                 0.207194                 
0.022994                 -0.000545                0.000124                 0.207205                 
0.022993                 -0.000559                0.000088                 0.207217                 
0.022992                 -0.000575                0.000051                 0.207228                 
0.022990                 -0.000592                0.000012                 0.207240                 
0.022988                 -0.000609                -0.000027                0.207251                 
0.022985                 -0.000628                -0.000066                0.207263                 
0.022982                 -0.000647                -0.000106                0.207274                 
0.022979                 -0.000667                -0.000147                0.207286                 
0.022975                 -0.000688                -0.000187                0.207297                 
0.022971                 -0.000709                -0.000227                0.207307                 
0.022967                 -0.000730                -0.000267                0.207318                 
0.022962                 -0.000752                -0.000306                0.207328                 
0.022957                 -0.000774                -0.000345                0.207338                 
0.022953                 -0.000796                -0.000382                0.207347                 
0.022947                 -0.000817                -0.000419                0.207356                 
0.022942                 -0.000839                -0.000454                0.207364                 
0.022937                 -0.000860                -0.000488                0.207372                 
0.022932                 -0.000881                -0.000520                0.207380                 
0.022926                 -0.000901                -0.000551                0.207386                 
0.022921                 -0.000920                -0.000580                0.207393                 
0.022915                 -0.000939                -0.000607                0.207398                 
0.022910                 -0.000957                -0.000632                0.207403                 
0.022905                 -0.000975                -0.000655                0.207408                 
0.022899                 -0.000991                -0.000675                0.207412                 
0.022894                 -0.001006                -0.000694                0.207415                 
0.022889                 -0.001020                -0.000710                0.207417                 
0.022884                 -0.001034                -0.000724                0.207419                 
0.022879                 -0.001045                -0.000736                0.207420                 
0.022875                 -0.001056                -0.000745                0.207421                 
0.022870                 -0.001066                -0.000752                0.207421                 
0.022866                 -0.001074                -0.000757                0.207420                 
0.022862                 -0.001081                -0.000759                0.207419                 
0.022859                 -0.001087                -0.000759                0.207417                 
0.022855                 -0.001091                -0.000757                0.207415                 
0.022852                 -0.001094                -0.000753                0.207412                 
0.022849                 -0.001096                -0.000746                0.207408                 
0.022847                 -0.001097                -0.000738                0.207404                 
0.022845                 -0.001096                -0.000727                0.207400                 
0.022843                 -0.001095                -0.000715                0.207395                 
0.022841                 -0.001092                -0.000701                0.207390                 
0.022840                 -0.001088                -0.000685                0.207384                 
0.022838                 -0.001082                -0.000668                0.207378                 
0.022838                 -0.001076                -0.000649                0.207371                 
0.022837                 -0.001069                -0.000629                0.207364                 
0.022837                 -0.001061                -0.000607                0.207357                 
0.022837                 -0.001052                -0.000585                0.207349                 
0.022837                 -0.001042                -0.000562                0.207342                 
0.022838                 -0.001031                -0.000538                0.207334                 
0.022839                 -0.001020                -0.000513                0.207326                 
0.022840                 -0.001008                -0.000487                0.207317                 
0.022842                 -0.000995                -0.000462                0.207309                 
0.022843                 -0.000983                -0.000436                0.207300                 
0.022845                 -0.000969                -0.000410                0.207292                 
0.022847                 -0.000956                -0.000384                0.207283                 
0.022849                 -0.000942                -0.000358                0.207274                 
0.022852                 -0.000928                -0.000332                0.207266                 
0.022855                 -0.000914                -0.000307                0.207257                 
0.022857                 -0.000900                -0.000282                0.207249                 
0.022860                 -0.000885                -0.000258                0.207240                 
0.022863                 -0.000872                -0.000234                0.207232                 
0.022866                 -0.000858                -0.000212                0.207224                 
0.022869                 -0.000844                -0.000190                0.207216                 
0.022873                 -0.000831                -0.000169                0.207208                 
0.022876                 -0.000818                -0.000150                0.207200                 
0.022879                 -0.000806                -0.000131                0.207193                 
0.022883                 -0.000794                -0.000114                0.207186                 
0.022886                 -0.000783                -0.000098                0.207179                 
0.022889                 -0.000772                -0.000084                0.207172                 
0.022892                 -0.000762                -0.000071                0.207165                 
0.022896                 -0.000753                -0.000059                0.207159                 
0.022899                 -0.000744                -0.000049                0.207153                 
0.022902                 -0.000736                -0.000041                0.207147                 
0.022905                 -0.000729                -0.000034                0.207142                 
0.022908                 -0.000722                -0.000028                0.207137                 
0.022911                 -0.000717                -0.000024                0.207132                 
0.022914                 -0.000712                -0.000022                0.207127                 
0.022916                 -0.000708                -0.000021                0.207123                 
0.022919                 -0.000705                -0.000022                0.207119                 
0.022921                 -0.000702                -0.000024                0.207115                 
0.022923                 -0.000701                -0.000027                0.207112                 
0.022925                 -0.000700                -0.000032                0.207109                 
0.022927                 -0.000700                -0.000038                0.207106                 
0.022929                 -0.000701                -0.000045                0.207103                 
0.022930                 -0.000702                -0.000054                0.207101                 
0.022932                 -0.000705                -0.000064                0.207098                 
0.022933                 -0.000708                -0.000074                0.207096                 
0.022934                 -0.000712                -0.000086                0.207095                 
0.022935                 -0.000716                -0.000099                0.207093                 
0.022936                 -0.000721                -0.000113                0.207092                 
0.022936                 -0.000727                -0.000127                0.207091                 
0.022937                 -0.000733                -0.000142                0.207089                 
0.022937                 -0.000739                -0.000158                0.207089                 
0.022937                 -0.000746                -0.000174                0.207088                 
0.022937                 -0.000754                -0.000191                0.207087                 
0.022937                 -0.000762                -0.000208                0.207087                 
0.022937                 -0.000770                -0.000225                0.207086                 
0.022936                 -0.000778                -0.000243                0.207086                 
0.022936                 -0.000787                -0.000260                0.207086                 
0.022935                 -0.000796                -0.000278                0.207085                 
0.022934                 -0.000805                -0.000295                0.207085                 
0.022933                 -0.000814                -0.000312                0.207085                 
0.022932                 -0.000823                -0.000329                0.207085                 
0.022931                 -0.000832                -0.000346                0.207085                 
0.022930                 -0.000841                -0.000362                0.207085                 
0.022929                 -0.000850                -0.000378                0.207085                 
0.022928                 -0.000858                -0.000393                0.207084                 
0.022926                 -0.000867                -0.000407                0.207084                 
0.022925                 -0.000875                -0.000421                0.207084                 
0.022924                 -0.000883                -0.000435                0.207083                 
0.022922                 -0.000891                -0.000447                0.207083                 
0.022921                 -0.000898                -0.000459                0.207083                 
0.022920                 -0.000906                -0.000470                0.207082                 
0.022918                 -0.000912                -0.000479                0.207081                 
0.022917                 -0.000918                -0.000488                0.207080                 
0.022916                 -0.000924                -0.000497                0.207080                 
0.022914                 -0.000930                -0.000504                0.207079                 
0.022913                 -0.000935                -0.000510                0.207077                 
0.022912                 -0.000939                -0.000515                0.207076                 
0.022911                 -0.000943                -0.000519                0.207075                 
0.022910                 -0.000946                -0.000522                0.207073                 
0.022909                 -0.000949                -0.000524                0.207072                 
0.022908                 -0.000952                -0.000526                0.207070                 
0.022907                 -0.000953                -0.000526                0.207068                 
0.022906                 -0.000955                -0.000525                0.207066                 
0.022905                 -0.000955                -0.000524                0.207064                 
0.022905                 -0.000956                -0.000521                0.207062                 
0.022904                 -0.000956                -0.000518                0.207060                 
0.022904                 -0.000955                -0.000514                0.207057                 
0.022903                 -0.000954                -0.000509                0.207055                 
0.022903                 -0.000952                -0.000503                0.207052                 
0.022903                 -0.000950                -0.000497                0.207049                 
0.022903                 -0.000947                -0.000490                0.207047                 
0.022903                 -0.000945                -0.000482                0.207044                 
0.022903                 -0.000941                -0.000474                0.207041                 
0.022903                 -0.000938                -0.000465                0.207037                 
0.022904                 -0.000934                -0.000456                0.207034                 
0.022904                 -0.000929                -0.000447                0.207031                 
0.022904                 -0.000925                -0.000437                0.207027                 
0.022905                 -0.000920                -0.000427                0.207024                 
0.022906                 -0.000915                -0.000417                0.207020                 
0.022906                 -0.000910                -0.000406                0.207017                 
0.022907                 -0.000904                -0.000395                0.207013                 
0.022908                 -0.000899                -0.000385                0.207010                 
0.022909                 -0.000893                -0.000374                0.207006                 
0.022910                 -0.000888                -0.000363                0.207002                 
0.022911                 -0.000882                -0.000353                0.206998                 
0.022912                 -0.000876                -0.000343                0.206995                 
0.022913                 -0.000870                -0.000332                0.206991                 
0.022914                 -0.000865                -0.000322                0.206987                 
0.022915                 -0.000859                -0.000313                0.206983                 
0.022916                 -0.000854                -0.000304                0.206979                 
0.022918                 -0.000848                -0.000295                0.206975                 
0.022919                 -0.000843                -0.000286                0.206971                 
0.022920                 -0.000838                -0.000278                0.206967                 
0.022921                 -0.000833                -0.000271                0.206964                 
0.022922                 -0.000829                -0.000264                0.206960                 
0.022924                 -0.000824                -0.000257                0.206956                 
0.022925                 -0.000820                -0.000251                0.206952                 
0.022926                 -0.000816                -0.000246                0.206948                 
0.022927                 -0.000813                -0.000241                0.206944                 
0.022928                 -0.000809                -0.000237                0.206940                 
0.022929                 -0.000806                -0.000233                0.206936                 
0.022930                 -0.000804                -0.000230                0.206933                 
0.022931                 -0.000801                -0.000228                0.206929                 
0.022932                 -0.000799                -0.000226                0.206925                 
0.022933                 -0.000797                -0.000225                0.206921                 
0.022934                 -0.000796                -0.000225                0.206918                 
0.022935                 -0.000795                -0.000225                0.206914                 
0.022936                 -0.000794                -0.000226                0.206910                 
0.022936                 -0.000794                -0.000227                0.206906                 
0.022937                 -0.000794                -0.000229                0.206903                 
0.022938                 -0.000794                -0.000232                0.206899                 
0.022938                 -0.000794                -0.000235                0.206895                 
0.022939                 -0.000795                -0.000238                0.206892                 
0.022939                 -0.000796                -0.000242                0.206888                 
0.022939                 -0.000797                -0.000247                0.206884                 
0.022940                 -0.000799                -0.000251                0.206880                 
0.022940                 -0.000801                -0.000257                0.206877                 
0.022940                 -0.000803                -0.000262                0.206873                 
0.022940                 -0.000805                -0.000268                0.206869                 
0.022940                 -0.000808                -0.000274                0.206866                 
0.022940                 -0.000811                -0.000281                0.206862                 
0.022940                 -0.000814                -0.000288                0.206858                 
0.022940                 -0.000817                -0.000294                0.206854                 
0.022940                 -0.000820                -0.000301                0.206851                 
0.022940                 -0.000823                -0.000309                0.206847                 
0.022940                 -0.000826                -0.000316                0.206843                 
0.022939                 -0.000830                -0.000323                0.206839                 
0.022939                 -0.000833                -0.000330                0.206835                 
0.022939                 -0.000837                -0.000338                0.206831                 
0.022939                 -0.000841                -0.000345                0.206827                 
0.022938                 -0.000844                -0.000352                0.206823                 
0.022938                 -0.000848                -0.000359                0.206819                 
0.022938                 -0.000851                -0.000366                0.206815                 
0.022937                 -0.000855                -0.000372                0.206811                 
0.022937                 -0.000858                -0.000379                0.206807                 
0.022936                 -0.000862                -0.000385                0.206803                 
0.022936                 -0.000865                -0.000391                0.206799                 
0.022936                 -0.000868                -0.000397                0.206795                 
0.022935                 -0.000871                -0.000402                0.206791                 
0.022935                 -0.000874                -0.000407                0.206786                 
0.022935                 -0.000877                -0.000412                0.206782                 
0.022934                 -0.000879                -0.000416                0.206778                 
0.022934                 -0.000882                -0.000420                0.206774                 
0.022934                 -0.000884                -0.000424                0.206769                 
0.022933                 -0.000886                -0.000427                0.206765                 
0.022933                 -0.000888                -0.000430                0.206760                 
0.022933                 -0.000890                -0.000433                0.206756                 
0.022933                 -0.000891                -0.000435                0.206752                 
0.022933                 -0.000892                -0.000437                0.206747                 
0.022933                 -0.000893                -0.000438                0.206743                 
0.022933                 -0.000894                -0.000439                0.206738                 
0.022933                 -0.000895                -0.000439                0.206734                 
0.022933                 -0.000896                -0.000440                0.206729                 
0.022933                 -0.000896                -0.000439                0.206725                 
0.022933                 -0.000896                -0.000439                0.206720                 
0.022933                 -0.000896                -0.000438                0.206716                 
0.022933                 -0.000896                -0.000437                0.206711                 
0.022933                 -0.000895                -0.000435                0.206706                 
0.022934                 -0.000894                -0.000433                0.206702                 
0.022934                 -0.000894                -0.000431                0.206697                 
0.022934                 -0.000893                -0.000429                0.206693                 
0.022935                 -0.000892                -0.000426                0.206688                 
0.022935                 -0.000890                -0.000423                0.206684                 
0.022936                 -0.000889                -0.000420                0.206679                 
0.022936                 -0.000887                -0.000417                0.206675                 
0.022937                 -0.000886                -0.000413                0.206671                 
0.022937                 -0.000884                -0.000410                0.206666                 
0.022938                 -0.000882                -0.000406                0.206662                 
0.022938                 -0.000880                -0.000402                0.206657                 
0.022939                 -0.000878                -0.000398                0.206653                 
0.022940                 -0.000876                -0.000394                0.206649                 
0.022941                 -0.000874                -0.000390                0.206644                 
0.022941                 -0.000872                -0.000386                0.206640                 
0.022942                 -0.000869                -0.000382                0.206636                 
0.022943                 -0.000867                -0.000378                0.206632                 
0.022944                 -0.000865                -0.000374                0.206628                 
0.022944                 -0.000863                -0.000370                0.206623                 
0.022945                 -0.000861                -0.000367                0.206619                 
0.022946                 -0.000858                -0.000363                0.206615                 
0.022947                 -0.000856                -0.000359                0.206611                 
0.022948                 -0.000854                -0.000356                0.206607                 
0.022948                 -0.000852                -0.000353                0.206603                 
0.022949                 -0.000850                -0.000349                0.206599                 
0.022950                 -0.000848                -0.000346                0.206595                 
0.022951                 -0.000847                -0.000344                0.206592                 
0.022952                 -0.000845                -0.000341                0.206588                 
0.022952                 -0.000843                -0.000339                0.206584                 
0.022953                 -0.000842                -0.000337                0.206580                 
0.022954                 -0.000840                -0.000335                0.206576                 
0.022954                 -0.000839                -0.000333                0.206572                 
0.022955                 -0.000838                -0.000332                0.206569                 
0.022956                 -0.000837                -0.000331                0.206565                 
0.022956                 -0.000836                -0.000330                0.206561                 
0.022957                 -0.000835                -0.000329                0.206557                 
0.022958                 -0.000834                -0.000328                0.206554                 
0.022958                 -0.000834                -0.000328                0.206550                 
0.022959                 -0.000833                -0.000328                0.206546                 
0.022959                 -0.000833                -0.000329                0.206543                 
0.022960                 -0.000833                -0.000329                0.206539                 
0.022960                 -0.000833                -0.000330                0.206535                 
0.022960                 -0.000833                -0.000331                0.206531                 
0.022961                 -0.000833                -0.000332                0.206528                 
0.022961                 -0.000833                -0.000333                0.206524                 
0.022961                 -0.000834                -0.000335                0.206520                 
0.022962                 -0.000834                -0.000337                0.206516                 
0.022962                 -0.000835                -0.000339                0.206513                 
0.022962                 -0.000835                -0.000341                0.206509                 
0.022962                 -0.000836                -0.000343                0.206505                 
0.022962                 -0.000837                -0.000345                0.206501                 
0.022963                 -0.000838                -0.000348                0.206497                 
0.022963                 -0.000839                -0.000350                0.206493                 
0.022963                 -0.000840                -0.000353                0.206489                 
0.022963                 -0.000841                -0.000356                0.206485                 
0.022963                 -0.000842                -0.000359                0.206481                 
0.022963                 -0.000844                -0.000362                0.206477                 
0.022963                 -0.000845                -0.000365                0.206473                 
0.022963                 -0.000846                -0.000368                0.206468                 
0.022963                 -0.000847                -0.000371                0.206464                 
0.022963                 -0.000849                -0.000374                0.206460                 
0.022962                 -0.000850                -0.000377                0.206456                 
0.022962                 -0.000852                -0.000380                0.206451                 
0.022962                 -0.000853                -0.000383                0.206447                 
0.022962                 -0.000854                -0.000385                0.206442                 
0.022962                 -0.000856                -0.000388                0.206438                 
0.022962                 -0.000857                -0.000391                0.206433                 
0.022962                 -0.000858                -0.000394                0.206428                 
0.022962                 -0.000859                -0.000396                0.206424                 
0.022961                 -0.000861                -0.000399                0.206419                 
0.022961                 -0.000862                -0.000401                0.206414                 
0.022961                 -0.000863                -0.000404                0.206409                 
0.022961                 -0.000864                -0.000406                0.206404                 
0.022961                 -0.000865                -0.000408                0.206400                 
0.022961                 -0.000866                -0.000410                0.206395                 
0.022961                 -0.000867                -0.000411                0.206390                 
0.022961                 -0.000868                -0.000413                0.206384                 
0.022961                 -0.000868                -0.000415                0.206379                 
0.022961                 -0.000869                -0.000416                0.206374                 
0.022961                 -0.000870                -0.000417                0.206369                 
0.022961                 -0.000870                -0.000418                0.206364                 
0.022961                 -0.000871                -0.000419                0.206359                 
0.022961                 -0.000871                -0.000420                0.206353                 
0.022961                 -0.000871                -0.000420                0.206348                 
0.022961                 -0.000872                -0.000421                0.206343                 
0.022961                 -0.000872                -0.000421                0.206337                 
0.022961                 -0.000872                -0.000421                0.206332                 
0.022961                 -0.000872                -0.000421                0.206326                 
0.022961                 -0.000872                -0.000421                0.206321                 
0.022961                 -0.000872                -0.000421                0.206315                 
0.022962                 -0.000872                -0.000421                0.206310                 
0.022962                 -0.000871                -0.000420                0.206305                 
0.022962                 -0.000871                -0.000419                0.206299                 
0.022962                 -0.000871                -0.000419                0.206294                 
0.022963                 -0.000870                -0.000418                0.206288                 
0.022963                 -0.000870                -0.000417                0.206283                 
0.022963                 -0.000869                -0.000416                0.206277                 
0.022964                 -0.000869                -0.000415                0.206272                 
0.022964                 -0.000868                -0.000414                0.206266                 
0.022965                 -0.000867                -0.000413                0.206261                 
0.022965                 -0.000867                -0.000412                0.206255                 
0.022965                 -0.000866                -0.000410                0.206250                 
0.022966                 -0.000865                -0.000409                0.206244                 
0.022966                 -0.000864                -0.000408                0.206239                 
0.022967                 -0.000864                -0.000406                0.206234                 
0.022967                 -0.000863                -0.000405                0.206228                 
0.022968                 -0.000862                -0.000404                0.206223                 
0.022968                 -0.000861                -0.000402                0.206218                 
0.022969                 -0.000860                -0.000401                0.206212                 
0.022969                 -0.000860                -0.000400                0.206207                 
0.022970                 -0.000859                -0.000399                0.206202                 
0.022970                 -0.000858                -0.000397                0.206197                 
0.022971                 -0.000857                -0.000396                0.206191                 
0.022972                 -0.000856                -0.000395                0.206186                 
0.022972                 -0.000856                -0.000394                0.206181                 
0.022973                 -0.000855                -0.000393                0.206176                 
0.022973                 -0.000854                -0.000392                0.206171                 
0.022974                 -0.000854                -0.000391                0.206166                 
0.022974                 -0.000853                -0.000390                0.206161                 
0.022975                 -0.000852                -0.000390                0.206156                 
0.022975                 -0.000852                -0.000389                0.206151                 
0.022976                 -0.000851                -0.000388                0.206146                 
0.022976                 -0.000851                -0.000388                0.206141                 
0.022977                 -0.000850                -0.000388                0.206136                 
0.022978                 -0.000850                -0.000387                0.206131                 
0.022978                 -0.000850                -0.000387                0.206126                 
0.022978                 -0.000849                -0.000387                0.206122                 
0.022979                 -0.000849                -0.000387                0.206117                 
0.022979                 -0.000849                -0.000387                0.206112                 
0.022980                 -0.000849                -0.000387                0.206107                 
0.022980                 -0.000849                -0.000387                0.206102                 
0.022981                 -0.000849                -0.000388                0.206098                 
0.022981                 -0.000849                -0.000388                0.206093                 
0.022981                 -0.000849                -0.000389                0.206088                 
0.022982                 -0.000849                -0.000389                0.206084                 
0.022982                 -0.000849                -0.000390                0.206079                 
0.022983                 -0.000849                -0.000391                0.206074                 
0.022983                 -0.000849                -0.000392                0.206070                 
0.022983                 -0.000849                -0.000392                0.206065                 
0.022983                 -0.000850                -0.000393                0.206060                 
0.022984                 -0.000850                -0.000394                0.206056                 
0.022984                 -0.000850                -0.000396                0.206051                 
0.022984                 -0.000851                -0.000397                0.206046                 
0.022985                 -0.000851                -0.000398                0.206042                 
0.022985                 -0.000851                -0.000399                0.206037                 
0.022985                 -0.000852                -0.000400                0.206032                 
0.022985                 -0.000852                -0.000401                0.206028                 
0.022985                 -0.000853                -0.000403                0.206023                 
0.022985                 -0.000853                -0.000404                0.206018                 
0.022986                 -0.000853                -0.000405                0.206013                 
0.022986                 -0.000854                -0.000407                0.206009                 
0.022986                 -0.000854                -0.000408                0.206004                 
0.022986                 -0.000855                -0.000409                0.205999                 
0.022986                 -0.000855                -0.000411                0.205994                 
0.022986                 -0.000856                -0.000412                0.205989                 
0.022986                 -0.000856                -0.000413                0.205984                 
0.022986                 -0.000857                -0.000415                0.205980                 
0.022987                 -0.000857                -0.000416                0.205975                 
