Eta                      Xi                       Zeta                     Delta                    
0.022295                 -0.000036                -0.000022                0.205732                 
0.022337                 -0.000035                -0.000021                0.205543                 
0.022380                 -0.000035                -0.000020                0.205361                 
0.022423                 -0.000034                -0.000019                0.205187                 
0.022467                 -0.000033                -0.000018                0.205021                 
0.022510                 -0.000033                -0.000017                0.204863                 
0.022554                 -0.000032                -0.000016                0.204713                 
0.022598                 -0.000032                -0.000015                0.204572                 
0.022641                 -0.000031                -0.000014                0.204441                 
0.022684                 -0.000031                -0.000014                0.204317                 
0.022727                 -0.000030                -0.000013                0.204204                 
0.022769                 -0.000030                -0.000012                0.204099                 
0.022810                 -0.000029                -0.000011                0.204003                 
0.022851                 -0.000029                -0.000011                0.203917                 
0.022890                 -0.000028                -0.000010                0.203840                 
0.022929                 -0.000028                -0.000009                0.203771                 
0.022967                 -0.000027                -0.000009                0.203712                 
0.023003                 -0.000027                -0.000008                0.203662                 
0.023038                 -0.000026                -0.000008                0.203621                 
0.023072                 -0.000026                -0.000008                0.203588                 
0.023105                 -0.000026                -0.000007                0.203564                 
0.023136                 -0.000026                -0.000007                0.203548                 
0.023165                 -0.000025                -0.000007                0.203540                 
0.023193                 -0.000025                -0.000007                0.203539                 
0.023219                 -0.000025                -0.000007                0.203547                 
0.023244                 -0.000025                -0.000007                0.203561                 
0.023266                 -0.000025                -0.000007                0.203582                 
0.023287                 -0.000024                -0.000007                0.203610                 
0.023307                 -0.000024                -0.000007                0.203645                 
0.023324                 -0.000024                -0.000007                0.203685                 
0.023340                 -0.000024                -0.000007                0.203731                 
0.023353                 -0.000024                -0.000008                0.203782                 
0.023365                 -0.000024                -0.000008                0.203838                 
0.023375                 -0.000024                -0.000008                0.203898                 
0.023384                 -0.000025                -0.000009                0.203963                 
0.023390                 -0.000025                -0.000009                0.204031                 
0.023395                 -0.000025                -0.000010                0.204103                 
0.023398                 -0.000025                -0.000010                0.204178                 
0.023399                 -0.000025                -0.000011                0.204255                 
0.023398                 -0.000025                -0.000011                0.204335                 
0.023396                 -0.000026                -0.000012                0.204416                 
0.023392                 -0.000026                -0.000012                0.204499                 
0.023387                 -0.000026                -0.000013                0.204584                 
0.023380                 -0.000027                -0.000014                0.204668                 
0.023372                 -0.000027                -0.000014                0.204754                 
0.023362                 -0.000027                -0.000015                0.204839                 
0.023351                 -0.000028                -0.000016                0.204924                 
0.023338                 -0.000028                -0.000016                0.205008                 
0.023324                 -0.000028                -0.000017                0.205092                 
0.023309                 -0.000029                -0.000017                0.205174                 
0.023293                 -0.000029                -0.000018                0.205255                 
0.023276                 -0.000029                -0.000019                0.205334                 
0.023258                 -0.000030                -0.000019                0.205411                 
0.023239                 -0.000030                -0.000020                0.205485                 
0.023220                 -0.000030                -0.000020                0.205557                 
0.023199                 -0.000030                -0.000021                0.205627                 
0.023178                 -0.000031                -0.000021                0.205693                 
0.023157                 -0.000031                -0.000022                0.205756                 
0.023135                 -0.000031                -0.000022                0.205816                 
0.023112                 -0.000032                -0.000022                0.205872                 
0.023090                 -0.000032                -0.000023                0.205925                 
0.023067                 -0.000032                -0.000023                0.205974                 
0.023044                 -0.000032                -0.000023                0.206019                 
0.023020                 -0.000032                -0.000024                0.206060                 
0.022997                 -0.000033                -0.000024                0.206097                 
0.022974                 -0.000033                -0.000024                0.206130                 
0.022951                 -0.000033                -0.000024                0.206159                 
0.022928                 -0.000033                -0.000024                0.206184                 
0.022905                 -0.000033                -0.000024                0.206205                 
0.022883                 -0.000033                -0.000024                0.206221                 
0.022861                 -0.000033                -0.000025                0.206234                 
0.022840                 -0.000033                -0.000024                0.206242                 
0.022819                 -0.000033                -0.000024                0.206246                 
0.022799                 -0.000033                -0.000024                0.206247                 
0.022779                 -0.000033                -0.000024                0.206243                 
0.022760                 -0.000033                -0.000024                0.206236                 
0.022742                 -0.000033                -0.000024                0.206225                 
0.022725                 -0.000033                -0.000024                0.206210                 
0.022708                 -0.000033                -0.000023                0.206192                 
0.022693                 -0.000033                -0.000023                0.206170                 
0.022678                 -0.000033                -0.000023                0.206145                 
0.022664                 -0.000033                -0.000023                0.206117                 
0.022651                 -0.000033                -0.000022                0.206087                 
0.022639                 -0.000033                -0.000022                0.206053                 
0.022629                 -0.000032                -0.000022                0.206017                 
0.022619                 -0.000032                -0.000021                0.205979                 
0.022610                 -0.000032                -0.000021                0.205938                 
0.022602                 -0.000032                -0.000021                0.205896                 
0.022596                 -0.000032                -0.000020                0.205851                 
