roll-rate                pitch-rate               yaw-rate                 acc_x_NED                acc_y_NED                acc_z_NED                
0.000258                 -0.019156                0.000061                 0.162826                 0.002668                 -0.533905                
0.000261                 -0.019900                0.000062                 0.169880                 0.002707                 -0.510665                
0.000263                 -0.020575                0.000062                 0.176490                 0.002748                 -0.486844                
0.000266                 -0.021180                0.000063                 0.182650                 0.002790                 -0.462518                
0.000269                 -0.021714                0.000063                 0.188356                 0.002832                 -0.437766                
0.000272                 -0.022177                0.000063                 0.193607                 0.002874                 -0.412668                
0.000275                 -0.022568                0.000064                 0.198398                 0.002918                 -0.387300                
0.000278                 -0.022888                0.000064                 0.202730                 0.002961                 -0.361741                
0.000281                 -0.023136                0.000064                 0.206601                 0.003005                 -0.336068                
0.000284                 -0.023313                0.000064                 0.210011                 0.003049                 -0.310357                
0.000287                 -0.023420                0.000063                 0.212962                 0.003093                 -0.284683                
0.000290                 -0.023457                0.000063                 0.215456                 0.003137                 -0.259119                
0.000293                 -0.023425                0.000063                 0.217495                 0.003181                 -0.233736                
0.000296                 -0.023326                0.000062                 0.219083                 0.003225                 -0.208606                
0.000299                 -0.023161                0.000062                 0.220224                 0.003268                 -0.183796                
0.000302                 -0.022932                0.000061                 0.220924                 0.003311                 -0.159372                
0.000305                 -0.022639                0.000061                 0.221187                 0.003353                 -0.135397                
0.000307                 -0.022286                0.000060                 0.221021                 0.003395                 -0.111935                
0.000310                 -0.021874                0.000059                 0.220434                 0.003436                 -0.089042                
0.000312                 -0.021406                0.000058                 0.219432                 0.003476                 -0.066774                
0.000314                 -0.020884                0.000058                 0.218026                 0.003515                 -0.045186                
0.000317                 -0.020310                0.000057                 0.216224                 0.003554                 -0.024327                
0.000319                 -0.019687                0.000056                 0.214037                 0.003591                 -0.004244                
0.000320                 -0.019017                0.000055                 0.211476                 0.003628                 0.015019                 
0.000322                 -0.018304                0.000054                 0.208551                 0.003663                 0.033420                 
0.000324                 -0.017550                0.000053                 0.205275                 0.003698                 0.050924                 
0.000325                 -0.016759                0.000052                 0.201660                 0.003731                 0.067495                 
0.000326                 -0.015932                0.000051                 0.197720                 0.003763                 0.083103                 
0.000327                 -0.015074                0.000049                 0.193468                 0.003794                 0.097720                 
0.000328                 -0.014188                0.000048                 0.188917                 0.003823                 0.111323                 
0.000329                 -0.013275                0.000047                 0.184083                 0.003852                 0.123892                 
0.000329                 -0.012341                0.000046                 0.178979                 0.003879                 0.135409                 
0.000329                 -0.011387                0.000045                 0.173622                 0.003905                 0.145861                 
0.000330                 -0.010418                0.000044                 0.168026                 0.003930                 0.155238                 
0.000330                 -0.009435                0.000043                 0.162207                 0.003954                 0.163533                 
0.000329                 -0.008443                0.000042                 0.156181                 0.003977                 0.170744                 
0.000329                 -0.007444                0.000042                 0.149965                 0.003999                 0.176869                 
0.000329                 -0.006442                0.000041                 0.143574                 0.004020                 0.181913                 
0.000328                 -0.005440                0.000040                 0.137024                 0.004040                 0.185882                 
0.000327                 -0.004439                0.000039                 0.130334                 0.004059                 0.188785                 
0.000326                 -0.003445                0.000039                 0.123517                 0.004077                 0.190635                 
0.000325                 -0.002459                0.000038                 0.116593                 0.004094                 0.191448                 
0.000324                 -0.001484                0.000037                 0.109576                 0.004111                 0.191241                 
0.000323                 -0.000522                0.000037                 0.102484                 0.004127                 0.190037                 
0.000321                 0.000423                 0.000037                 0.095332                 0.004143                 0.187858                 
0.000320                 0.001349                 0.000036                 0.088138                 0.004158                 0.184730                 
0.000318                 0.002253                 0.000036                 0.080916                 0.004173                 0.180683                 
0.000316                 0.003134                 0.000036                 0.073683                 0.004187                 0.175747                 
0.000315                 0.003989                 0.000036                 0.066455                 0.004202                 0.169955                 
0.000313                 0.004816                 0.000036                 0.059247                 0.004216                 0.163342                 
0.000311                 0.005613                 0.000036                 0.052073                 0.004230                 0.155944                 
0.000309                 0.006379                 0.000036                 0.044948                 0.004245                 0.147800                 
0.000307                 0.007111                 0.000036                 0.037888                 0.004259                 0.138949                 
0.000305                 0.007808                 0.000037                 0.030905                 0.004274                 0.129433                 
0.000303                 0.008469                 0.000037                 0.024014                 0.004289                 0.119295                 
0.000301                 0.009092                 0.000037                 0.017227                 0.004304                 0.108577                 
0.000299                 0.009676                 0.000038                 0.010557                 0.004320                 0.097325                 
0.000297                 0.010220                 0.000039                 0.004016                 0.004337                 0.085584                 
0.000295                 0.010723                 0.000039                 -0.002384                0.004354                 0.073400                 
0.000293                 0.011185                 0.000040                 -0.008632                0.004372                 0.060819                 
0.000291                 0.011604                 0.000041                 -0.014718                0.004390                 0.047888                 
0.000290                 0.011981                 0.000042                 -0.020631                0.004410                 0.034654                 
0.000288                 0.012314                 0.000042                 -0.026362                0.004430                 0.021164                 
0.000286                 0.012605                 0.000043                 -0.031903                0.004451                 0.007465                 
0.000285                 0.012852                 0.000044                 -0.037244                0.004473                 -0.006397                
0.000283                 0.013056                 0.000045                 -0.042378                0.004497                 -0.020375                
0.000281                 0.013217                 0.000046                 -0.047299                0.004521                 -0.034423                
0.000280                 0.013335                 0.000047                 -0.051999                0.004546                 -0.048496                
0.000279                 0.013411                 0.000049                 -0.056473                0.004572                 -0.062550                
0.000277                 0.013445                 0.000050                 -0.060716                0.004600                 -0.076542                
0.000276                 0.013438                 0.000051                 -0.064723                0.004628                 -0.090428                
0.000275                 0.013390                 0.000052                 -0.068490                0.004658                 -0.104167                
0.000274                 0.013303                 0.000053                 -0.072014                0.004689                 -0.117720                
0.000274                 0.013178                 0.000054                 -0.075292                0.004720                 -0.131046                
0.000273                 0.013015                 0.000055                 -0.078322                0.004753                 -0.144110                
0.000272                 0.012816                 0.000056                 -0.081103                0.004787                 -0.156874                
0.000272                 0.012582                 0.000058                 -0.083633                0.004822                 -0.169304                
0.000271                 0.012315                 0.000059                 -0.085913                0.004858                 -0.181367                
0.000271                 0.012015                 0.000060                 -0.087943                0.004895                 -0.193032                
0.000271                 0.011685                 0.000061                 -0.089724                0.004933                 -0.204270                
0.000271                 0.011325                 0.000062                 -0.091257                0.004971                 -0.215054                
0.000271                 0.010938                 0.000063                 -0.092544                0.005011                 -0.225357                
0.000271                 0.010525                 0.000064                 -0.093587                0.005051                 -0.235156                
0.000271                 0.010088                 0.000064                 -0.094391                0.005092                 -0.244429                
0.000272                 0.009629                 0.000065                 -0.094957                0.005134                 -0.253156                
0.000272                 0.009149                 0.000066                 -0.095291                0.005176                 -0.261320                
0.000272                 0.008650                 0.000067                 -0.095397                0.005219                 -0.268904                
0.000273                 0.008135                 0.000068                 -0.095280                0.005262                 -0.275896                
0.000274                 0.007604                 0.000068                 -0.094945                0.005305                 -0.282283                
0.000274                 0.007060                 0.000069                 -0.094398                0.005349                 -0.288055                
0.000275                 0.006505                 0.000069                 -0.093645                0.005393                 -0.293205                
0.000276                 0.005940                 0.000070                 -0.092692                0.005437                 -0.297728                
0.000277                 0.005368                 0.000070                 -0.091547                0.005481                 -0.301619                
0.000278                 0.004790                 0.000070                 -0.090217                0.005526                 -0.304878                
0.000279                 0.004208                 0.000071                 -0.088709                0.005570                 -0.307503                
0.000280                 0.003624                 0.000071                 -0.087031                0.005614                 -0.309499                
0.000281                 0.003040                 0.000071                 -0.085191                0.005658                 -0.310867                
0.000282                 0.002458                 0.000071                 -0.083197                0.005701                 -0.311615                
0.000284                 0.001878                 0.000071                 -0.081057                0.005745                 -0.311750                
0.000285                 0.001304                 0.000071                 -0.078781                0.005787                 -0.311281                
0.000286                 0.000736                 0.000071                 -0.076376                0.005830                 -0.310220                
0.000287                 0.000176                 0.000071                 -0.073852                0.005872                 -0.308578                
0.000288                 -0.000374                0.000071                 -0.071218                0.005913                 -0.306369                
0.000290                 -0.000913                0.000071                 -0.068483                0.005953                 -0.303611                
0.000291                 -0.001439                0.000071                 -0.065655                0.005993                 -0.300318                
0.000292                 -0.001952                0.000070                 -0.062744                0.006032                 -0.296510                
0.000293                 -0.002449                0.000070                 -0.059760                0.006071                 -0.292206                
0.000294                 -0.002930                0.000070                 -0.056710                0.006108                 -0.287426                
0.000295                 -0.003393                0.000069                 -0.053605                0.006145                 -0.282192                
0.000296                 -0.003837                0.000069                 -0.050453                0.006181                 -0.276527                
0.000297                 -0.004262                0.000068                 -0.047263                0.006215                 -0.270454                
0.000298                 -0.004667                0.000068                 -0.044044                0.006249                 -0.263997                
0.000299                 -0.005049                0.000067                 -0.040805                0.006282                 -0.257182                
0.000300                 -0.005410                0.000067                 -0.037554                0.006314                 -0.250034                
0.000301                 -0.005748                0.000066                 -0.034299                0.006345                 -0.242579                
0.000302                 -0.006062                0.000066                 -0.031050                0.006375                 -0.234844                
0.000302                 -0.006353                0.000065                 -0.027813                0.006405                 -0.226857                
